Sample_Name	Month_Day	Month	Day	CUBHE	ConsistencyHE	CPB	FilteredSequences	d	LowerCI	UpperCI
ESPAEMG01_S37_L003	Mar_18	3	18	0.981800072225227	NA	NA	229546	0.334049312245012	0.244654502074214	0.462701110110179
ESPAEMG02_S38_L003	Mar_19	3	19	0.892460868782152	NA	NA	200863	0.573818194963185	0.44389304810953	0.748981604231291
ESPAEMG03_S39_L003	Mar_20	3	20	1.13935821523146	NA	NA	318533	0.140847458056453	0.094802083642173	0.214229526842552
ESPAEMG04_S40_L003	Mar_21	3	21	1.01069730720129	NA	NA	270421	0.282815274611195	0.203696238503108	0.398988039984818
ESPAEMG05_S41_L003	Mar_22	3	22	0.879212552356905	NA	NA	239446	0.62402265683368	0.486789851478753	0.807208275057796
ESPAEMG06_S42_L003	Mar_23	3	23	0.908288737458465	NA	NA	326410	0.519774266858048	0.398103591114395	0.685761411241873
ESPAEMG07_S43_L003	Apr_08	4	8	0.950214582313652	NA	NA	214621	0.402570926482985	0.300457374705033	0.546243765524558
ESPAEMG09_S44_L003	Apr_09	4	9	0.848787686261122	NA	NA	303373	0.75949608908775	0.603977534211728	0.962415428773998
ESPAEMG11_S45_L003	Apr_10	4	10	0.794820285496331	NA	NA	139288	1.09135056708842	0.896801158655547	1.33557298757864
ESPAEMG13_S46_L003	Apr_11	4	11	0.816745759353117	NA	NA	145380	0.939776941333876	0.762324452887256	1.16595445469821
ESPAEMG15_S47_L003	Apr_12	4	12	0.801471567527468	NA	NA	167048	1.04260264593094	0.85345820226475	1.28111546810968
ESPAEMG17_S48_L003	Apr_13	4	13	0.804325816556512	NA	NA	241711	1.02244923955637	0.83556225872644	1.25857968066893
ESPAEMG19_S49_L003	Apr_14	4	14	0.884884536535979	NA	NA	200847	0.60193889206144	0.467880540995541	0.781650597950143
ESPAEMG21_S50_L003	Apr_15	4	15	0.854311561114016	NA	NA	287518	0.732583123065164	0.580551218088687	0.931771293682298
ESPAEMG23_S51_L003	Apr_16	4	16	0.850986078782203	NA	NA	194984	0.748652289837539	0.594530757043753	0.95007815226611
ESPAEMG25_S52_L003	Apr_17	4	17	0.864500628780864	NA	NA	148459	0.685746162172013	0.539945771049679	0.878231521284963
ESPAEMG27_S53_L003	Apr_18	4	18	0.856583960237285	NA	NA	197872	0.721828987087291	0.571208917713359	0.919502578129476
ESPAEMG29_S54_L003	Apr_19	4	19	0.848849297565074	NA	NA	186579	0.759189753634536	0.603710522769391	0.962067080974039
ESPAEMG31_S55_L003	Apr_20	4	20	0.857003717690775	NA	NA	212402	0.719862260790862	0.569501577496677	0.917257343061035
ESPAEMG33_S56_L003	Apr_21	4	21	0.8862254754408	NA	NA	292300	0.596849214022225	0.463531231596486	0.775748339389948
ESPAEMG35_S57_L003	Apr_22	4	22	0.846984982314599	NA	NA	95467	0.768522017852891	0.61184844487423	0.972674666394876
ESPAEMG37_S58_L003	Apr_23	4	23	0.91942298663719	NA	NA	204330	0.485233280776741	0.369073590946265	0.645018903453992
ESPAEMG39_S59_L003	Apr_24	4	24	0.856243739985873	NA	NA	175964	0.723427551554464	0.572596924729633	0.921327166076937
ESPAEMG41_S60_L003	Apr_25	4	25	0.784371208935569	NA	NA	264186	1.17328237277457	0.969786298835971	1.42698466988931
ESPAEMG43_S61_L003	Apr_26	4	26	0.791518760270537	NA	NA	218912	1.11651068579256	0.919198021329656	1.36365645308814
ESPAEMG45_S62_L003	Apr_27	4	27	0.87002811823613	NA	NA	204755	0.661772653309187	0.519249110627596	0.850713505282493
ESPAEMG47_S63_L003	Apr_28	4	28	0.9050918407244	NA	NA	90976	0.530204491857997	0.40690701581461	0.698010429052054
ESPAEMG51_S64_L003	Apr_30	4	30	0.87642297214155	NA	NA	146072	0.635222161544102	0.496402336847309	0.820138532122041
ESPAEMG53_S65_L003	May_01	5	1	0.882483973094032	NA	NA	334560	0.611174724748192	0.475781339567874	0.79234938687045
