Sample_Name	Month_Day	Month	Day	CUBHE	ConsistencyHE	CPB	FilteredSequences	OGT	d	LowerCI	UpperCI
ESPAEMG01_S37_L003	Mar_18	3	18	0.981800072225227	NA	NA	229546	16.14	0.487657391678661	0.355506938257201	0.678898922595392
ESPAEMG02_S38_L003	Mar_19	3	19	0.892460868782152	NA	NA	200863	16.25	0.850719730319627	0.647518299855102	1.13000495117113
ESPAEMG03_S39_L003	Mar_20	3	20	1.13935821523146	NA	NA	318533	16.283	0.199909314664571	0.134986134350861	0.302975360266165
ESPAEMG04_S40_L003	Mar_21	3	21	1.01069730720129	NA	NA	270421	16.597	0.407125782536674	0.292771011589833	0.575352981033402
ESPAEMG05_S41_L003	Mar_22	3	22	0.879212552356905	NA	NA	239446	16.652	0.91977693383258	0.705061243820591	1.21240803199544
ESPAEMG06_S42_L003	Mar_23	3	23	0.908288737458465	NA	NA	326410	16.559	0.763062129746082	0.577158476257281	1.02049417924271
ESPAEMG07_S43_L003	Apr_08	4	8	0.950214582313652	NA	NA	214621	15.183	0.602813910951059	0.445357599356076	0.827063502730106
ESPAEMG09_S44_L003	Apr_09	4	9	0.848787686261122	NA	NA	303373	15.678	1.15153538376439	0.890134771266864	1.504266238348
ESPAEMG11_S45_L003	Apr_10	4	10	0.794820285496331	NA	NA	139288	15.237	1.69522592464572	1.32623322075998	2.18609725910892
ESPAEMG13_S46_L003	Apr_11	4	11	0.816745759353117	NA	NA	145380	14.956	1.46044367505686	1.13595935579401	1.89507964445688
ESPAEMG15_S47_L003	Apr_12	4	12	0.801471567527468	NA	NA	167048	15.314	1.61359791606237	1.26146311690933	2.08244368933394
ESPAEMG17_S48_L003	Apr_13	4	13	0.804325816556512	NA	NA	241711	15.247	1.58364008498246	1.23693324757463	2.04574994501373
ESPAEMG19_S49_L003	Apr_14	4	14	0.884884536535979	NA	NA	200847	15.119	0.915903173896573	0.696777957549839	1.21725679185474
ESPAEMG21_S50_L003	Apr_15	4	15	0.854311561114016	NA	NA	287518	15.371	1.11682471360145	0.86054287719399	1.46396689402753
ESPAEMG23_S51_L003	Apr_16	4	16	0.850986078782203	NA	NA	194984	15.247	1.14542165819181	0.8831620998239	1.50038146129663
ESPAEMG25_S52_L003	Apr_17	4	17	0.864500628780864	NA	NA	148459	15.314	1.04412336147603	0.80133405598242	1.37454675080244
ESPAEMG27_S53_L003	Apr_18	4	18	0.856583960237285	NA	NA	197872	15.834	1.08860489857705	0.839647506644771	1.42542082919584
ESPAEMG29_S54_L003	Apr_19	4	19	0.848849297565074	NA	NA	186579	16.326	1.13456923220557	0.879295033245563	1.47797499392966
ESPAEMG31_S55_L003	Apr_20	4	20	0.857003717690775	NA	NA	212402	16.611	1.06707277138483	0.825353810926466	1.39300677081119
ESPAEMG33_S56_L003	Apr_21	4	21	0.8862254754408	NA	NA	292300	16.775	0.876122942774923	0.669805995952018	1.15820286585719
ESPAEMG35_S57_L003	Apr_22	4	22	0.846984982314599	NA	NA	95467	16.907	1.13424532923653	0.88165501081979	1.4728464509485
ESPAEMG37_S58_L003	Apr_23	4	23	0.91942298663719	NA	NA	204330	17.16	0.701946555663203	0.528979045408722	0.942520345392962
ESPAEMG39_S59_L003	Apr_24	4	24	0.856243739985873	NA	NA	175964	17.411	1.05379684669883	0.817721343289565	1.37090307395316
ESPAEMG41_S60_L003	Apr_25	4	25	0.784371208935569	NA	NA	264186	17.352	1.73851567052944	1.37797308002003	2.21078803471322
ESPAEMG43_S61_L003	Apr_26	4	26	0.791518760270537	NA	NA	218912	16.868	1.67050230259818	1.31907134424167	2.13290203547282
ESPAEMG45_S62_L003	Apr_27	4	27	0.87002811823613	NA	NA	204755	16.698	0.976341518417041	0.751457288553334	1.28135917273136
ESPAEMG47_S63_L003	Apr_28	4	28	0.9050918407244	NA	NA	90976	15.947	0.789002166981918	0.596594205334631	1.0555394100596
ESPAEMG51_S64_L003	Apr_30	4	30	0.87642297214155	NA	NA	146072	16.213	0.945784935573662	0.724785314926771	1.24708532762877
ESPAEMG53_S65_L003	May_01	5	1	0.882483973094032	NA	NA	334560	16.244	0.908166749853286	0.694245102362777	1.20067340012948
