Sample_Name	Library_Type	Filter_Fraction	Month_Day	Month	Day	Time	Temperature	Depth	Salinity	Chlorophyll	Transmission	Total_Reads
ESPAEMG01_S37_L003	MG	AE	Mar_18	3	18	AM	16.14	9.74	33.447	0.4	94.1	81077508
ESPAEMG02_S38_L003	MG	AE	Mar_19	3	19	AM	16.25	8.625	33.447	0.82	95.1	69411938
ESPAEMG03_S39_L003	MG	AE	Mar_20	3	20	AM	16.283	4.689	33.448	0.54	94.6	94646542
ESPAEMG04_S40_L003	MG	AE	Mar_21	3	21	AM	16.597	3.929	33.489	0.65	94.8	81187940
ESPAEMG05_S41_L003	MG	AE	Mar_22	3	22	AM	16.652	3.259	33.524	0.68	95.9	74567740
ESPAEMG06_S42_L003	MG	AE	Mar_23	3	23	AM	16.559	3.306	33.523	0.78	94.8	99165690
ESPAEMG07_S43_L003	MG	AE	Apr_08	4	8	AM	15.183	11.895	33.441	2.61	71.4	76281206
ESPAEMG09_S44_L003	MG	AE	Apr_09	4	9	AM	15.678	9.009	33.482	1.93	82.6	97752562
ESPAEMG11_S45_L003	MG	AE	Apr_10	4	10	AM	15.237	9.384	33.473	1.16	80.1	42660336
ESPAEMG13_S46_L003	MG	AE	Apr_11	4	11	AM	14.956	7.201	33.495	1.53	78.4	41860804
ESPAEMG15_S47_L003	MG	AE	Apr_12	4	12	AM	15.314	7.9102	33.481	2.29	77.5	52180396
ESPAEMG17_S48_L003	MG	AE	Apr_13	4	13	AM	15.247	8.701	33.485	1.84	76.8	86764148
ESPAEMG19_S49_L003	MG	AE	Apr_14	4	14	AM	15.119	8.863	33.483	1.81	74.9	66487742
ESPAEMG21_S50_L003	MG	AE	Apr_15	4	15	AM	15.371	8.832	33.483	1.72	74.1	79538924
ESPAEMG23_S51_L003	MG	AE	Apr_16	4	16	AM	15.247	11.265	33.518	2.07	71	54128896
ESPAEMG25_S52_L003	MG	AE	Apr_17	4	17	AM	15.314	10.621	33.482	2.43	70.7	43397034
ESPAEMG27_S53_L003	MG	AE	Apr_18	4	18	AM	15.834	9.927	33.494	2.18	78.1	55910146
ESPAEMG29_S54_L003	MG	AE	Apr_19	4	19	AM	16.326	8.331	33.514	1.45	76.6	59814010
ESPAEMG31_S55_L003	MG	AE	Apr_20	4	20	AM	16.611	7.272	33.52	1.3	76.4	64445502
ESPAEMG33_S56_L003	MG	AE	Apr_21	4	21	AM	16.775	6.968	33.533	1.44	75.4	94228280
ESPAEMG35_S57_L003	MG	AE	Apr_22	4	22	AM	16.907	7.146	33.532	1.59	76.3	33925234
ESPAEMG37_S58_L003	MG	AE	Apr_23	4	23	AM	17.16	6.538	33.538	1.71	73.4	62401518
ESPAEMG39_S59_L003	MG	AE	Apr_24	4	24	AM	17.411	6.8	33.552	1.44	73.6	62963068
ESPAEMG41_S60_L003	MG	AE	Apr_25	4	25	AM	17.352	7.268	33.55	1.24	73.9	73164172
ESPAEMG43_S61_L003	MG	AE	Apr_26	4	26	AM	16.868	11.264	33.541	1.58	72.9	60086644
ESPAEMG45_S62_L003	MG	AE	Apr_27	4	27	AM	16.698	9.35	33.545	1.91	71.8	68395418
ESPAEMG47_S63_L003	MG	AE	Apr_28	4	28	AM	15.947	11.337	33.541	2.25	69.7	25579224
ESPAEMG51_S64_L003	MG	AE	Apr_30	4	30	AM	16.213	11.319	33.512	2.26	64.7	43337136
ESPAEMG53_S65_L003	MG	AE	May_01	5	1	AM	16.244	9.493	33.514	2.27	62.1	102401146
